410 Frankford
"BROTHERS PLACE, INC. Carrollton Ridge"
"BRUCE MCKELDIN CONSULTING, LLC Fells Point"
BUD PAOLINO'S RESTAURANT Baltimore Highlands
BUFFALO WINGGS AND BEER North Harford Road
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV Harwood
BULLSEYE BAR & GRILLE North Harford Road
BURGER KING Carroll Park
BURGER KING Fells Point
BURGER KING Kresson
BURGER KING Downtown
BURGER KING # 10293 Druid Heights
BURGER KING # 13360 Remington
BURGER KING #10294 Pleasant View Gardens
BURGER KING #10295 Central Park Heights
BURGER KING #1950 Cherry Hill
BURGER KING #2610 Mondawmin
"BURKE'S CAFE, INCORPORATED Downtown"
BURKE'S CAF/ COMEDY FACTORY Downtown
BUSTER'S PUB Baltimore-Linwood
"BUTTS & BETTY'S TAVERN, INC. Upper Fells Point"
B-WATCH Fells Point
BYZANTIO CAF Greektown
CAF AZAFRAN Johns Hopkins Homewood
CAF EXPRESS Downtown
CAF GIA Little Italy
CAF GOURMET Downtown
CAFE' INTERNATIONALE Inner Harbor
CAF LATTE 'DA Fells Point
CAFE MANET Federal Hill
"CAF ON THE SQUARE, LLC Downtown"
CAF SUSSIE'S Greenmount West
CAFE ZEN Rosebank
CALIFORNIA PIZZA KITCHEN Inner Harbor
CAMDEN PUB University Of Maryland
CAMERON'S SEAFOOD Central Park Heights
CANTINA LAS AMERICAS/LA RUMBA Washington Hill
CANTON COVE Canton
CANTON STATION Canton Industrial Area
CANTON'S PEARLS Canton
CANTON'S PORTSIDE TAVERN Canton
CAPTAIN LARRY'S Riverside
caribbean paradise Charles North
CARIBOU COFFEE Downtown
CARL REFEERS BAR & GRILL Fells Point
CARLOS O'CHARLIES Highlandtown
CARL'S LITTLE HOUSE Washington Village
CARLYLE CLUB Roland Park
CAROLINAS TEX- MEX RESTAURANT Fells Point
CAROLINA'S TEX-MEX RESTURANT Fells Point
CARROLL STATION Carroll Park
CARROLL STATION Carroll Park
CASSANOVIA Penn North
CASTAWAY'S BAR &  GRILL Canton
CATALINA RESTAURANT Inner Harbor
CATCH 22 SALOON Joseph Lee
CATON HOUSE RESTAURANT Morrell Park
CATTLE & FIN GRILL Woodring
CAZBAR Downtown
CC LOUNGE Lucille Park
CEASAR'S DEN Little Italy
CEDONIA INN Frankford
"CENTER CLUB, INCORPORATED Inner Harbor"
CENTER STAGE Mount Vernon
CENTRAL STATION Mid-Town Belvedere
CERIELLO FINE FOODS Chinquapin Park-Belvedere
CHAMPAGNE TONY'S Mid-Town Belvedere
"CHARLES & MADISON, LLC Mount Vernon"
CHARLES RESTAURANT  &  CARRYOUT Charles Village
CHARLES ST DELI Downtown
CHARLES VILLAGE PUB Charles Village
CHARLESTON Inner Harbor
CHARLIE & DEE RESTAURANT Washington Village
CHARLOTTE'S Riverside
CHARM CITY INN Greektown
CHAZZ &  REN'E Canton
CHEERLEADERS Fells Point
CHEERLEADERS SPORTS BAR Fells Point
CHEF PAOLINO Inner Harbor
CHESAPEAKE BAY RESTAURANT Johns Hopkins Homewood
CHESAPEAKE WINE COMPANY Canton
CHIAPPARELLI'S RESTAURANT Little Italy
CHIC & TROUT (1007-09) Johnston Square
CHICKEN RICO Brewers Hill
CHIMES CAF Seton Business Park
CHINA CHEF Baltimore Highlands
CHINA EAST Joseph Lee
CHINA EUTAW EXPRESS Downtown
CHINA GARDEN Oldtown
CHINA WOK Loch Raven
CHINATOWN CAF Downtown
CHINESE DELIGHT Hampden
CHIPOTLE Inner Harbor
CHIPOTLE MEXICAN GRILL Charles Village
CHIU'S SUSHI JAPANESE RESTAURANT Inner Harbor
CHIYO SUSHI Mount Washington
CHOCOLATEA Tuscany-Canterbury
CHOPPER'S TAVERN Upton
CHOW  MEIN CHARLIES  chinese food Roland Park
CHRIS LIQUOR & GRILL Washington Village
CHUBBIES CLUB Fells Point
CHUCK'S Canton
CHUNG MEE RESTAURANT Woodbourne Heights
CIAO BELLA RESTAURANT Little Italy
CINCO DE MAYO Little Italy
CINGHIALE Inner Harbor
CIRCUS BAR & RESTAURANT Downtown
CITY LIMITS SPORTS BAR Locust Point
claddagh pub Canton
CLASSIC CAFE EXPRESS Mid-Town Belvedere
CLAYTON FINE BOOKS & CAF Downtown
CLIFTON PARK GOLF COURSE SNACK BAR Darley Park
CLIPPER MILL INN Hampden
CLUB 1722 Charles North
CLUB BAR Sandtown-Winchester
CLUB BUNNS (606-08) Seton Hill
club charles zodiac     (1724-1726 n. charles st) Charles North
CLUB CHOICES Charles North
CLUB CLIMAX Shipley Hill
CLUB CONFETTI Fells Point
CLUB HAREM Downtown
CLUB HOUSE BAR & GRILL Orangeville Industrial Area
CLUB HUSH Carrollton Ridge
CLUB INTERNATIONAL Shipley Hill
CLUB LUZERENE McElderry Park
CLUB MATE Brooklyn
CLUB MIAMI Downtown
CLUB MITCHELL Jonestown
CLUB OKAPI Carrollton Ridge
CLUB ONE Downtown
CLUB PHOENIX Mid-Town Belvedere
CLUB PUSSYCAT Downtown
CLUB RIO & TOUCH OF CLASS Winchester
CLUBHOUSE BAR Carrollton Ridge
CLUBHOUSE BAR & GRILL Orangeville Industrial Area
COACH HOUSE INN Cedmont
COCKY LOU'S Broadway East
COCO MOKA CAF Riverside
COCONUT CAF Mount Vernon
COFFEE LAND Downtown
COLD STONE CREAMERY #1479 Canton
COLD STONE CREAMERY# 102 Canton
COLLINS CORNER Westport
COLONIAL INN Fells Point
COMMON GROUND Hampden
COOKIE'S  CITY  LINE  DINER Hawkins Point
COOPER'S LIQUOR (568-570) Oldtown
COPRA Downtown
CORKS Federal Hill
CORKY'S GRILL Remington
CORRADO'S CAF Downtown
"COSI, INC. # 157 Inner Harbor"
COSMOPOLITAN BAR & GRILL Canton
COSMOS RESTAURANT-CARRYOUT (5427-29) Harford-Echodale/Perring Parkway
COTTON CLUB Midtown-Edmondson
courthouse east caf‚' Downtown
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE Inner Harbor
crazy johns Downtown
CRAZY LIL'S Federal Hill
CREATIVE ALLIANCE Canton
CREPE DU JOUR Mount Washington
CROSSROADS SPORTS PUB & GRILL Canton
CURB SHOPPE North Roland Park/Poplar Hill
CURLEY ST.  CAF Canton
CURTIS BAY ATHLETIC CLUB Curtis Bay
D J'S GASLIGHT Curtis Bay
DAILY  GRIND  COFFEE  HOUSE Middle East
DAILY GRIND Canton
DAILY GRIND Dunbar-Broadway
dalesio's of little italy llc Little Italy
DANCING PIGS Washington Village
DANNY'S LOUNGE Towanda-Grantley
DARBY'S Morrell Park
DARKER THAN BLUE Better Waverly
DASH SEAFOOD & CHICKEN Central Park Heights
DAVEY JONES LOCKER Brewers Hill
DAVID & DAD'S LLC Downtown
DAVID'S RESTAURANT & DELI Hampden
DAYS INNS MANAGEMENT CO Inner Harbor
DEAD END SALOON Fells Point
DEAD FREDDIES North Harford Road
DECADES SPORTS BAR Curtis Bay
DECKERS BAR & GRILLE Locust Point
DEEP SIDE RESTAURANT & CAF Baltimore-Linwood
DEGO DAME'S Little Italy
DELLA ROSE'S 2 CANTON CROSSING Canton Industrial Area
DESERT CAFE'(1605-07) Mount Washington
DESERT INN Midtown-Edmondson
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET) Downtown
DIANNE'S RESTAURANT LOUNGE Middle East
DILONE GROCERY & RESTAURANT Baltimore-Linwood
"DIMIS CAF AND GRILL, INC. Roland Park"
DIMITRI'S TAVERN Hampden
DING HOW RESTAURANT Fells Point
DIONYSUS RESTAURANT & LOUNGE Mid-Town Belvedere
DIZZY  IZZY Remington
DOMINICANO INTERNACIONAL Brewers Hill
DOMINO SUGAR CAFATERIA OPERATION # 65227 Riverside
DONNA'S Inner Harbor
DONNA'S Holabird Industrial Park
DONNA'S Mount Vernon
"DONNA'S CHARLES VILLAGE, LLC Charles Village"
DONNA'S CROSS KEYS Cross Keys
DONRITZ BAR & GRILL Franklin Square
DOUGHERTY'S Mid-Town Belvedere
DOWN THE HATCH Locust Point
DOWNTOWN SPORTS EXCHANGE Inner Harbor
"DREAM TAVERN, CARRIBEAN  U.S.A. Broadway East"
DREAMS INN Brooklyn
DRIFTERS RAW BAR & GRILL Federal Hill
DUCK'S BLACK SATIN LOUNGE Central Park Heights
DUCKY PLEASURE CLUB Canton
DUCLAW BREWING COMPANY Gay Street
DUDA'S TAVERN Fells Point
DUKEM ETHIOPIAN RESTAURANT Mid-Town Belvedere
DUNKIN DONUTS Hampden
Dunkin Donuts Orangeville
DUNKIN DONUTS Cross Keys
DUNKIN DONUTS Homeland
DUNKIN DONUTS Fallstaff
DUNKIN DONUTS & BASKIN ROBBINS Harford-Echodale/Perring Parkway
DUNKIN DONUTS/BASKIN ROBBINS Canton Industrial Area
DUTCH POT CAF Downtown
DYNASTY Downtown
E C CAF & CATERING Hopkins Bayview
EAGLE NEST Curtis Bay
EAST BALTIMORE ENTERPRISE Jonestown
EASTERN HOUSE RESTAURANT Highlandtown
EASTSIDE  SPORTS  SOCIAL  CLUB Broadway East
EAT MUST BE FIRST Seton Hill
ECLECTIC CAF Fells Point
edelweiss bakery & caf‚' Westfield
EDENS LOUNGE Mid-Town Belvedere
"EDGAR'S INC.--BALTIMORE, MD Inner Harbor"
EDIE'S DELI & GRILL Inner Harbor
EDISON   LOUNGE Ellwood Park/Monument
EDO SUSHI Inner Harbor
EICHENKRANZ RESTAURANT Brewers Hill
EL OSASIS RESTAURANT & DISCOTEC Brewers Hill
EL RANCHO BLANCO Baltimore Highlands
EL RANCHO GRANDE Hampden
"EL RECODO, INC. Fells Point"
EL RINCONCITO PERUANO Washington Hill
EL TORITO MEXICAN RESTAURANT Downtown
EL TROPICAL RESTAURANT (3736-38) Baltimore Highlands
ELDORADO INC. Kresson
ELKS I.B.P.O.E.OF W. Johnston Square
ELLIOT'S POUR HOUSE Brewers Hill
EL-MOLINO Baltimore-Linwood
ELVIS RESTAURANT Federal Hill
ENRICO'S SPORTS CAFE Highlandtown
ESPN  ZONE Inner Harbor
europe restaurant & catering Reisterstown Station
EVERYDAY'S LLC Coldstream Homestead Montebello
EXCLUSIVE Mid-Town Belvedere
family diner Fairfield Area
FAMOUS RESTAURANT Charles North
FANTASIES Curtis Bay
FANTASY CAF Holabird Industrial Park
FEDERAL HILL LOUNGE Federal Hill
FELL'S POINT CARRYOUT Fells Point
FIELDER'S TAVERN Washington Village
FIELDS OLD TRAIL Mid-Govans
FIELDS RIB HOUSE Central Forest Park
FILLIN' STATION Morrell Park
FIRESIDE NORTH LIQUORS Coppin Heights/Ash-Co-East
FISHERMANS WHARF INNER HARBOR Inner Harbor
FIVE GUYS @ BREWERS HILL Canton Industrial Area
FIVE GUYS FAMOUS BURGERS & FRIES Mount Vernon
FIVE GUYS FAMOUS BURGERS & FRIES Inner Harbor
FIVE POINT TAVERN Fells Point
FIVE SEASONS Mount Vernon
FLAMERS BURGER & CHICKEN Dunbar-Broadway
FLAMINGO  LOUNGE Downtown
Fleming's Prime Steakhouse and Wine Bar Inner Harbor
FLETCHERS Fells Point
FLIP'S AT CLIPPER MILL Hampden
FOGO DE CHAO Inner Harbor
FOODTOPIA Downtown
FORT CHARLES PUB SBIC
FOUL BALL BAR Washington Village
FOUR G'S LIQUOR & LOUNGE Howard Park
FOXY LADY Downtown
FRANKLINTOWN INN Franklintown
FRANK'S PIZZA Rosemont East
fraternal order of police baltimore city lodge #3 Hampden
FRAZIER'S ON THE AVENUE Hampden
FRED & MARGIE'S INN Curtis Bay
FREDERICK STATION SALOON Irvington
FRIENDLY  FRIED  CHICKEN Abell
FRIEND'S RESTAURANT AND SPIRITS Fells Point
FULL MOON SALOON Fells Point
FULTON RESTAURANT Penn North
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE) Penn North
G & A RESTAURANT Brewers Hill
GAFFNEY'S BACK FIN ( seasonal) Highlandtown
GALLAGHERS BAR & GRILL    (938-940) Brewers Hill
GALLERY Charles North
GALLERY CAF Mount Vernon
GARDEN BEEF & BEER Armistead Gardens
GARDEN RESTAURANT Riverside
GECKOS Canton
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST) Inner Harbor
"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC. Fells Point"
GENTLEMEN OF CHARISMA Middle East
GEORGE'S CAFETERIA Dundalk Marine Terminal
GEORGIO'S Reisterstown Station
GERMANIO'S RESTAURANT Little Italy
GIBSON'S Butcher's Hill
GILMOR PLEASURE CLUB New Southwest/Mount Clare
GINGER'S Highlandtown
"GLADIATORS ASSOCIATIONS, INC Franklin Square"
GLASS DOOR lounge Pleasant View Gardens
GOLDEN KEY RESTAURANT Glenham-Belford
GOLDEN NUGGET Downtown
GOLDEN NUGGET LOUNGE Downtown
"GOLDEN WEST CAF, INC. Hampden"
GOOD TIMES BAR AND LOUNGE Franklin Square
GORDON'S Charles North
GOSSIP BISTRO Downtown
GRAND CRU Chinquapin Park-Belvedere
GRANDVIEW RESTAURANT Hampden
GRANITE Canton
GRANT'S 2 SPOT Penrose/Fayette Street Outreach
GREAT TASTE CHINESE  RESTAURANT Saint Agnes
GREENE ST CAF Seton Hill
GREENHOUSE CAF Middle East
GREENMOUNT LOUNGE Johnston Square
GRENADIER CLUB Upton
GRIFFITH'S Hampden
GRILL ART Hampden
GRILLE 601 Dunbar-Broadway
GROWLERS PUB Canton
GROWN FOLKS BAR Brooklyn
GRUMPIE'S Federal Hill
GRUNDY'S Brewers Hill
"GRUNWALD CLUB, INCORPORATED Canton"
JAUNG KAK RESTURANT(aka 18 W.20TH ST) Charles North
JAVA JOE'S Downtown
"JAY & KAY SUBWAY, INC. Charles Village"
JAY'S ON READ Mount Vernon
JAY'S WOLFE ST CAF Dunbar-Broadway
JAZZY BLUES CLUB Upper Fells Point
"JD's SMOKEHOUSE BAR & GRILL, INC. Canton"
JEMELLA 'S CUT RATE Sandtown-Winchester
JERRY'S BAR Mosher
JEWEL BOX LOUNGE Downtown
JHJ SALOON Fells Point
JIGGS TAVERN Washington Village
JIM DANDY'S TAVERN Curtis Bay
JIMMY'S RESTAURANT Fells Point
JIM'S DINER Canton Industrial Area
JOCKEY CLUB/PALACE KITCHEN Pimlico Good Neighbors
JOE SQUARED PIZZA AND BAR Charles North
JOE'S TAVERN Graceland Park
JOE'S TAVERN Morrell Park
JOE'S TAVERN & PACKAGE GOODS Glen
JOHN'S LOUNGE Sandtown-Winchester
JOY DELI Downtown
JP'S Canton
JR.'S BAR & GRILL Locust Point
JUNIORS Federal Hill
K.F.C. Gay Street
KABOBBI RESTAURANT Fells Point
KALI'S COURT Fells Point
POSITIONS UNLIMITED Downtown
POTBELLY SANDWICH WORK'S Inner Harbor
PRIMO'S Loyola/Notre Dame
PULASKI FOOD SERVICE Ellwood Park/Monument
PUR LOUNGE Canton
PURPLE GOOSE Morrell Park
"q s r,inc  - Mcdonald's Hillen"
"qsr, inc.- McDonalds Charles North"
"QSR, INC. MCDONALD'S) Moravia-Walther"
QUIGLEY 1/2 IRISH PUB Ridgely's Delight
QUINOS Riverside
QUIZINOS OF FALLS road Inner Harbor
QUIZNOS Canton
QUIZNO'S Downtown
QUIZNO'S Mid-Town Belvedere
QUIZNOS OF FELLS POINT Fells Point
QUO VADIS DEMOCRATIC CLUB Fells Point
RA SUSHI Fells Point
RADISSON CROSS KEYS HOTEL Cross Keys
RADISSON HOTEL AT CROSS KEYS Cross Keys
RAFTERS Riverside
RAINBOW HOMESTYLE BUFFET Frankford
RAINBOW'S  BAR Washington Village
RALLO'S RESTAURANT Riverside
RAMS HEAD TAVERN Downtown
RANDY'S BAR Broadway East
RAS-A-TER INTERNATIONAL Easterwood
RASCALS COMEDY CLUB Downtown
RAVE  INN Curtis Bay
RAY LEWIS' FULL MOON B-B-Q Canton
RAY'S TAVERN Saint Helena
RAYZER'S SBIC
RED DOOR LOUNGE Bridgeview/Greenlawn
RED FISH Canton
RED FOX LIQUORS Penn North
RED HOUSE TAVERN INC. Canton
RED LYON TAVERN Canton
RED MAPLE Mount Vernon
RED ROOSTER Frankford
RED SQUARE RESTAURANT Mid-Town Belvedere
REGAN'S TAVERN Highlandtown
REGI'S BAR & RESTAURANT Federal Hill
GUS RESTAURANT (3103-05) Northwest Community Action
GYPSIES Baltimore Highlands
H.I.S. PLACE Canton
HABENERO GRILL Greektown
"HAMILTON HOMING PIGEON CLUB, INC. Frankford"
HAMPDEN REPUBLICAN CLUB Hampden
harbor way inn Ridgely's Delight
HARBORSIDE CHICKEN & SEAFOOD Dunbar-Broadway
HARD ROCK CAF Inner Harbor
HARD ROCK CAF-OUTDOOR PIER Inner Harbor
HARFORD HOUSE North Harford Road
"HARFORD ROAD GROUP, LLC Glenham-Belford"
HARFORD ROAD LIQUORS Lauraville
HARRAR CAF Washington Village
MIDWAY BAR Downtown
MIKE MCGOVERN'S Canton
MIKE'S PLACE Hampden
MILTON AT CHARLES ST Downtown
MINATO RESTAURANT Mid-Town Belvedere
MINATO/CAFE VIET RESTAURANT Mount Vernon
MISS SHIRLEY'S CAF Roland Park
MOM'S PLACE Washington Village
MONDO BONDO ITALIAN BISTRO Downtown
MONUMENT HOUSE Milton-Montford
MORGAN STATE-FACULTY Stonewood-Pentwood-Winston
MORTON'S--THE  STEAKHOUSE Inner Harbor
MO'S CRAB & PASTA FACTORY Inner Harbor
MOTHER'S  FEDERAL  HILL  GRILL Federal Hill
"MOUNT VERNON CLUB OF BALTIMORE, INC. Mount Vernon"
MOUNT VERNON STABLE & SALOON Mount Vernon
MOUSE TRAP Downtown
MR. C. PLACE Washington Village
MR. JOE'S BAR AND CUT RATE LIQUORS Baltimore-Linwood
MT VERNON ENTERTAINMENT LLC Downtown
MT. PLEASANT INN Baltimore Highlands
MT. ROYAL TAVERN Mid-Town Belvedere
MT. VERNON  HOTEL AND WASHINGTON CAFE' Mount Vernon
MT. WASHINGTON TAVERN Mount Washington
MUGGSY'S Federal Hill
MUGHAL GARDEN Mount Vernon
MUIR'S TAVERN SBIC
MUM'S Sharp-Leadenhall
MURPHY'S NEIGHBORHOOD BAR & GRILL Mid-Govans
MUSTANG ALLEY'S Little Italy
MUSTANG INN Highlandtown
MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA Downtown
"MY COUSIN'S PLACE, LLC (3925-27) Baltimore Highlands"
MY PANINI Inner Harbor
MY THAI RESTAURANT Mount Vernon
NAK WON RESTAURANT Charles North
NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.) Charles North
NASU BLANCA Riverside
NCDEVINS Canton
NELSON BAKED GOODS & COFFEE SHOP Middle East
NEOPOL Chinquapin Park-Belvedere
network deli Woodberry
NEVER ON SUNDAY Mount Vernon
NEVIN'S  CROSS  STREET STATION Federal Hill
NEW CLUB THUNDERBIRD INC. Middle East
NEW DUFFY' S RESTAURANT Irvington
NEW EVERGREEN CAF Reisterstown Station
"NEW HONG  KONG RESTAURANT, INC. Charles Village"
NEW JOHNSON'S LOUNGE Midtown-Edmondson
"NEW MAY FLOWER BUFFET, INC. Oakenshawe"
"NEW MAYFIELD, INC. Belair-Edison"
NEW MOM & DAD LIQUORS Sandtown-Winchester
NEW NO  DO  JI  RESTAURANT Charles Village
HARRIS' TAVERN Gwynns Falls
"HARRY OLIVER MANAGEMENT CO., INC. Fells Point"
HARRY'S AMERICAN BAR Canton
HARVEST TABLE Locust Point Industrial Area
HAVE A NICE DAY CAF  (AKA 2 MARKET PLACE) Downtown
HAVEN PLACE Baltimore Highlands
hawley's  (2616-20) Morrell Park
HEATH STREET PUB SBIC
"HEIGHTS LIQUORS, INC. Arlington"
HELEN'S GARDEN  CAFE' Canton
HELLAS COFFEE SHOP Greektown
HENNINGER'S TAVERN Upper Fells Point
"HIDING SPOT, INC. Brooklyn"
"HIGH GROUNDS COFFEE ROASTERS, LLC Highlandtown"
HIGHLAND CLIPPER CLUB Brewers Hill
HILLEN RESTAURANT Penn-Fallsway
HIPPOPOTAMUS (932-34) Mount Vernon
HOGAN'S ALLEY Riverside
HOLIDAY HOUSE Westfield
HOLIDAY INN-INNER HARBOR Inner Harbor
HOLIDAY RESTAURANT Brooklyn
HOLLINS STREET PUB Hollins Market
HOLLINSWOOD INN Lakeland
HOLLYWOOD DINER Downtown
HOLY FRIJOLES Hampden
HOMETOWN DELI Downtown
HOMETOWN GIRL & COMPANY Hampden
HONEY'S LOUNGE Upper Fells Point
HOOTERS OF AMERICA Inner Harbor
HOPKINS DELI Tuscany-Canterbury
HOPKINS PLAZA DELI Downtown
HOPKINS SUBWAY Charles Village
HORSEFEATHER'S PUB Baltimore-Linwood
HOT TOMATOES-CAF FORTUNATO Fells Point
HOULIHANS OF MARYLAND Inner Harbor
HOWL AT THE MOON  (AKA 22 MARKET PL) Downtown
HUCKAS Canton
HULL STREET BLUES Locust Point
HUNAN EMPIRE Riverside
HYATT REGENCY BALTIMORE      (PISCES & BAR) Inner Harbor
HYATT REGENCY BALTIMORE    (Perks -LOBBY BAR) Inner Harbor
HYATT REGENCY BALTIMORE   (CAFETERIA) Inner Harbor
HYATT REGENCY BALTIMORE  (KITCHEN/BANQUET ROOM) Inner Harbor
HYATT REGENCY OF BALTIMORE  (Bistro-300 & Bar) Inner Harbor
I BAR Charles North
